Activity,Start,End,Duration,Speaker,Video,Slides,Meetup ID,Description,Notes
Doors Open,8:30 AM,9:10 AM,0:40,,,,,,
Opening Remarks,9:10 AM,9:15 AM,0:05,,,,,,
Scalaz-Stream Masterclass,9:15 AM,10:00 AM,0:45,Rúnar Ó. Bjarnason,https://www.youtube.com/watch?v=o3Siln85TJ4&list=PLndbWGuLoHeaRK1HqpsnvvBV4q9AWaQ8t&index=2,/2016/slides/runar.pdf,4283131,"Scalaz-Stream (soon to be called ""FS2"" or ""Functional Streams for Scala"") is a library that lets us write compositional, modular, safe, and efficient asynchronous I/O using an expressive purely functional API. In this hands-on talk we'll see how to get started with the library, cook up a few streams, and look at ways of combining them into larger systems.",
Break,10:00 AM,10:10 AM,0:10,,,,,,
Spark Datasets: A comparison with RDDs and DataFrame Queries,10:10 AM,10:55 AM,0:45,Brian Clapper,https://www.youtube.com/watch?v=pZQsDloGB4w&list=PLndbWGuLoHeaRK1HqpsnvvBV4q9AWaQ8t&index=1,https://www.ardentex.com/publications/RDDs-DataFrames-and-Datasets-in-Apache-Spark,12380763,"Traditionally, Apache Spark jobs have been written using Resilient Distributed Datasets (RDDs), a Scala Collections-like API. RDDs are type-safe, but they can be problematic: It's easy to write a suboptimal job, and RDDs are significantly slower in Python than in Scala. DataFrames address some of these problems, and they're much faster, even in Scala; but, DataFrames aren't type-safe, and they're arguably less flexible.

Enter Datasets, a type-safe, object-oriented programming interface that works with the DataFrames API, provide some of the benefits of RDDs, and can be optimized via the Catalyst optimizer.

This talk will briefly recap RDDs and DataFrames, introduce the Datasets API, and then, through a live demonstration, compare the performance of all three against the same non-trivial data source.",
Break,10:55 AM,11:15 AM,0:20,,,,,,
"Macros for Mortals: Or, How I Learned To Stop Worrying and Mumbling “WTF”?",11:15 AM,11:45 AM,0:30,Brendan McAdams,https://www.youtube.com/watch?v=JOkmLR4KVH4&list=PLndbWGuLoHeaRK1HqpsnvvBV4q9AWaQ8t&index=3,/2016/slides/rit.pdf,10987883,"Since their introduction in 2.10, Macros have veritably taken Scala by storm. They pop up everywhere, often providing elegant syntax extensions for Scala libraries; note the prevalence of ""sql"" string interpolation macros, for example.

Many developers, however, are scared and confused by Macros – rightly so. Many examples of Macros require deep knowledge of the Scala AST, internals and oddities. But hope exists: newer features like quasiquotes make it ridiculously easy to write powerful Macros with code templating.

In this talk, we’ll demystify just how Macros work and are constructed, walking through many of the different ""types"" of Macros that Scala supports. A final focus will be given to the use of the newer Quasiquotes and Annotations features as a way of quickly constructing powerful new code features in your own Scala code.",
Break,11:45 AM,11:55 AM,0:10,,,,,,
The Stairway to Pleasantville: Logic Programming in Scala,11:55 AM,12:10 PM,0:15,Stewart Stewart,https://www.youtube.com/watch?v=SPz4MJZD2Gw&list=PLndbWGuLoHeaRK1HqpsnvvBV4q9AWaQ8t&index=4,,133346372,"Logic programming is perhaps underappreciated compared to its declarative sibling, Functional Programming. In this lightning talk, we will examine a logic programming DSL built on top of microKanren in Scala. We will demonstrate it's expressive power by using it to help us find the solution(s) to a particularly mind-bending variant of a classic puzzle. The goal is to show that we can solve problems relationally yet write what feels like idiomatic, functional Scala.",
Monadic Logging and You,12:10 PM,12:25 PM,0:15,Martin Snyder,https://www.youtube.com/watch?v=t-YX55ZF4g0&list=PLndbWGuLoHeaRK1HqpsnvvBV4q9AWaQ8t&index=5,https://rawgit.com/MartinSnyder/monadic-logging/master/presentation/index.html#/,47235822,"Logging is more complicated than most people realize, and when they do, it's too late to do anything about it until ""next time."" Learn how to use a writer monad as a logging mechanism in your code. More importantly though, learn why you would want to do this, and what the benefits are.

There is a price to pay in adopting this approach, but it's more ""functional"", addresses existing challenges, and enables new, exciting capabilities.",
Lunch,12:25 PM,1:40 PM,1:15,,,,,,
